Avr_L: 15.5527    Avr_b: 4.0845   Avr_Chroma: 8.8872 
Avr_L: 18.4947    Avr_b: 4.8901   Avr_Chroma: 9.1480 
Avr_L: 19.3475    Avr_b: 4.5581   Avr_Chroma: 9.3651 
Avr_L: 19.9649    Avr_b: 4.3443   Avr_Chroma: 9.4086 
Avr_L: 21.0194    Avr_b: 4.5059   Avr_Chroma: 9.5975 
Avr_L: 20.5133    Avr_b: 4.7284   Avr_Chroma: 9.6729 
Avr_L: 19.2107    Avr_b: 4.7873   Avr_Chroma: 9.5804 
Avr_L: 18.4126    Avr_b: 7.4143   Avr_Chroma: 10.8439 
Avr_L: 19.4330    Avr_b: 7.6098   Avr_Chroma: 11.2468 
Avr_L: 20.7734    Avr_b: 7.0669   Avr_Chroma: 11.0907 
Avr_L: 21.5345    Avr_b: 6.8943   Avr_Chroma: 11.1338 
Avr_L: 22.0794    Avr_b: 7.0209   Avr_Chroma: 11.4046 
Avr_L: 22.4814    Avr_b: 6.5249   Avr_Chroma: 11.4873 
Avr_L: 21.8863    Avr_b: 6.7739   Avr_Chroma: 11.4855 
Avr_L: 16.0714    Avr_b: 8.1352   Avr_Chroma: 11.5466 
Avr_L: 17.2371    Avr_b: 8.1595   Avr_Chroma: 12.0488 
Avr_L: 18.1723    Avr_b: 7.3263   Avr_Chroma: 11.7639 
Avr_L: 18.5978    Avr_b: 7.2458   Avr_Chroma: 11.8358 
Avr_L: 19.0295    Avr_b: 7.2861   Avr_Chroma: 12.0183 
Avr_L: 19.3239    Avr_b: 7.1384   Avr_Chroma: 11.8427 
Avr_L: 19.0360    Avr_b: 7.4561   Avr_Chroma: 12.1472 
Avr_L: 18.0713    Avr_b: 7.5558   Avr_Chroma: 11.8013 
Avr_L: 21.8434    Avr_b: 10.0040   Avr_Chroma: 12.7731 
Avr_L: 23.0842    Avr_b: 9.7062   Avr_Chroma: 12.8278 
Avr_L: 23.6350    Avr_b: 9.4685   Avr_Chroma: 13.0127 
Avr_L: 23.8809    Avr_b: 9.9478   Avr_Chroma: 13.3399 
Avr_L: 23.9518    Avr_b: 9.9173   Avr_Chroma: 13.3262 
Avr_L: 24.0659    Avr_b: 10.0582   Avr_Chroma: 13.4971 
